url,sentence,title,body,arbitration
https://stackoverflow.com/questions/116574,java get file size efficiently,java get file size efficiently,"While googling, I see that using java.io.File#length() can be slow. FileChannel has a size() method that is available as well. Is there an efficient way in java to get the file size?",no
https://stackoverflow.com/questions/6008241,I come across Java code like this: -CODE- .,"What is the difference between '?', 'E', and 'T' for Java generics?",I come across Java code like this: -CODE- . What is the difference among all three of the above and what do they call this type of class or interface declarations in Java?,no
https://stackoverflow.com/questions/10097199,"Or rather, when to use which of them?",Javadoc @see or {@link}?,"Could someone tell me the difference between javadoc @see and {@link}? Or rather, when to use which of them?",no
https://stackoverflow.com/questions/2396493,And I couldn't figure out what was meant by classpath in this context.,What is a classpath?,I was just reading this line: -CODE- . And I couldn't figure out what was meant by classpath in this context.,no
https://stackoverflow.com/questions/3435581,"It must be something simple, right?",How to count lines of Java code using IntelliJ IDEA?,"I know I've used the feature in the past, but I have no idea how I did this before. It must be something simple, right?",no
https://stackoverflow.com/questions/542979,Using HeapDumpOnOutOfMemoryError parameter for heap dump for JBoss,Using HeapDumpOnOutOfMemoryError parameter for heap dump for JBoss,"I was told I can add the -XX:+HeapDumpOnOutOfMemoryError parameter to my JVM start up options to my JBoss start up script to get a heap dump when we get an out of memory error in our application. I was wondering where this data gets dumped? Is it just to the console, or to some log file? If it's just to the console, what if I'm not logged into the Unix server through the console?",yes
https://stackoverflow.com/questions/542979,"If it's just to the console, what if I'm not logged into the Unix server through the console?",Using HeapDumpOnOutOfMemoryError parameter for heap dump for JBoss,"I was told I can add the -XX:+HeapDumpOnOutOfMemoryError parameter to my JVM start up options to my JBoss start up script to get a heap dump when we get an out of memory error in our application. I was wondering where this data gets dumped? Is it just to the console, or to some log file? If it's just to the console, what if I'm not logged into the Unix server through the console?",no
https://stackoverflow.com/questions/16098046,I want to print a double value in Java without exponential form.,How do I print a double value without scientific notation using Java?,I want to print a double value in Java without exponential form. -CODE- . It shows this E notation: 1.2345678E7. I want it to print it like this: 12345678. What is the best way to prevent this?,no
https://stackoverflow.com/questions/4819635,How to remove all null elements from a ArrayList or String Array?,How to remove all null elements from a ArrayList or String Array?,"I try with a loop like that: -CODE- . But it isn't nice. Can anyone suggest me a better solution? Some useful benchmarks to make better decision: While loop, For loop and Iterator Performance Test.",no
https://stackoverflow.com/questions/1205995,"The bit that comes in between the ("""") in @SuppressWarnings("""").",What is the list of valid @SuppressWarnings warning names in Java?,"What is the list of valid @SuppressWarnings warning names in Java? The bit that comes in between the ("""") in @SuppressWarnings("""").",no
