url,sentence,title,body,arbitration
https://stackoverflow.com/questions/192078,How do I get the size of a java.sql.ResultSet?,How do I get the size of a java.sql.ResultSet?,"Shouldn't this be a pretty straightforward operation? However, I see there's neither a size() nor length() method.",no
https://stackoverflow.com/questions/17731234,Is there any cleaner way of doing this.,How to test that no exception is thrown?,I know that one way to do it would be: -CODE- . Is there any cleaner way of doing this. (Probably using Junit's @Rule?),no
https://stackoverflow.com/questions/877096,"Also, how does it work for anonymous classes?",How can I pass a parameter to a Java Thread?,"Can anyone suggest to me how I can pass a parameter to a thread? Also, how does it work for anonymous classes?",no
https://stackoverflow.com/questions/5122913,For example: -CODE- .,Java associative-array,How can I create and fetch associative arrays in Java like I can in PHP? For example: -CODE- .,no
https://stackoverflow.com/questions/13488419,"For some reason, the OK button is not clickable when I try to create an AVD.",Unable to create Android Virtual Device," For some reason, the OK button is not clickable when I try to create an AVD. Does anyone know what I'm doing wrong?",no
https://stackoverflow.com/questions/8194713,"I found under windows, most of Java is started using javaw.",Difference between java/javaw/javaws,"I am wondering, what's the difference between java/javaw/javaws? I found under windows, most of Java is started using javaw.",no
https://stackoverflow.com/questions/22703412,"I was testing out some new features of Java 8 and copied the example into my IDE (Eclipse originally, then IntelliJ) as shown here: http://docs.oracle.com/javase/tutorial/java/javaOO/examples/RosterTest.java.","Java ""lambda expressions not supported at this language level""","I was testing out some new features of Java 8 and copied the example into my IDE (Eclipse originally, then IntelliJ) as shown here: http://docs.oracle.com/javase/tutorial/java/javaOO/examples/RosterTest.java. Eclipse offered no support whatsoever for lambda expressions, and IntelliJ kept reporting an error ""Lambda expressions not supported at this language level"". I would like to know if this is a problem with my install, the code, or support.",no
https://stackoverflow.com/questions/213506,I get the following warning when using java.net.URLEncoder.encode: -CODE- .,"java.net.URLEncoder.encode(String) is deprecated, what should I use instead?",I get the following warning when using java.net.URLEncoder.encode: -CODE- . What should I be using instead?,no
https://stackoverflow.com/questions/5677470,Why?,"Java: Why is the Date constructor deprecated, and what do I use instead?","I come from the C# world, so not too experienced with Java yet. Was just told by Eclipse that the Date was deprecated. -CODE- . Why? And what (especially in cases like above) should be used instead?",no
https://stackoverflow.com/questions/192078,"However, I see there's neither a size() nor length() method.",How do I get the size of a java.sql.ResultSet?,"Shouldn't this be a pretty straightforward operation? However, I see there's neither a size() nor length() method.",no
https://stackoverflow.com/questions/1035949,Real world use of JMS/message queues?,Real world use of JMS/message queues?,I was just reading abit about JMS and Apache ActiveMQ. And was wondering what real world use have people here used JMS or similar message queue technologies for ?,no
https://stackoverflow.com/questions/247161,How do I turn a String into a InputStreamReader in java?,How do I turn a String into a InputStreamReader in java?,How can I transform a String value into an InputStreamReader?,no
https://stackoverflow.com/questions/7360403,Base 64 encode and decode,Base 64 encode and decode example code,"Does anyone know how to decode and encode a string in Base64 using the Base64. I am using the following code, but it's not working. -CODE- .",no
https://stackoverflow.com/questions/7360403,Does anyone know how to decode and encode a string in Base64 using the Base64.,Base 64 encode and decode example code,"Does anyone know how to decode and encode a string in Base64 using the Base64. I am using the following code, but it's not working. -CODE- .",yes
https://stackoverflow.com/questions/31696485,Why use Optional.of over Optional.ofNullable?,Why use Optional.of over Optional.ofNullable?,"When using the Java 8 Optional class, there are two ways in which a value can be wrapped in an optional. -CODE- . I understand Optional.ofNullable is the only safe way of using Optional, but why does Optional.of exist at all? Why not just use Optional.ofNullable and be on the safe side at all times?",no
https://stackoverflow.com/questions/31696485,"is the only safe way of using Optional, but why does Optional.of exist at all?",Why use Optional.of over Optional.ofNullable?,"When using the Java 8 Optional class, there are two ways in which a value can be wrapped in an optional. -CODE- . I understand Optional.ofNullable is the only safe way of using Optional, but why does Optional.of exist at all? Why not just use Optional.ofNullable and be on the safe side at all times?",no
https://stackoverflow.com/questions/31696485,I understand Optional.ofNullable,Why use Optional.of over Optional.ofNullable?,"When using the Java 8 Optional class, there are two ways in which a value can be wrapped in an optional. -CODE- . I understand Optional.ofNullable is the only safe way of using Optional, but why does Optional.of exist at all? Why not just use Optional.ofNullable and be on the safe side at all times?",no
https://stackoverflow.com/questions/25747499,"Note the question is not about which site gave me what result, I need to know the right algorithm and need to have right results.",Java 8: Calculate difference between two LocalDateTime,"I am trying to calculate the difference between two LocalDateTime. The output needs to be of the change_data_into_doccano_format y years m months d days h hours m minutes s seconds. Here is what I have written: -CODE- . The output that I am getting is 29 years 8 months 24 days 12 hours 0 minutes 50 seconds. I have checked my result from this website (with values 12/16/1984 07:45:55 and 09/09/2014 19:46:45). The following screenshot shows the output: I am pretty sure that the fields after the month value is coming wrong from my code. Any suggestion would be very helpful. Update I have tested my result from another website and the result I got is different. Here it is: Calculate duration between two dates (result: 29 years, 8 months, 24 days, 12 hours, 0 minutes and 50 seconds). Update Since I got two different results from two different sites, I am wondering if the algorithm of my calculation is legitimate or not. If I use following two LocalDateTime objects: -CODE- . Then the output is coming: 29 years 8 months 25 days -1 hours -5 minutes -10 seconds. From this link it should be 29 years 8 months 24 days 22 hours, 54 minutes and 50 seconds. So the algorithm needs to handle the negative numbers too. Note the question is not about which site gave me what result, I need to know the right algorithm and need to have right results.",no
https://stackoverflow.com/questions/25747499,I am trying to calculate the difference between two LocalDateTime.,Java 8: Calculate difference between two LocalDateTime,"I am trying to calculate the difference between two LocalDateTime. The output needs to be of the change_data_into_doccano_format y years m months d days h hours m minutes s seconds. Here is what I have written: -CODE- . The output that I am getting is 29 years 8 months 24 days 12 hours 0 minutes 50 seconds. I have checked my result from this website (with values 12/16/1984 07:45:55 and 09/09/2014 19:46:45). The following screenshot shows the output: I am pretty sure that the fields after the month value is coming wrong from my code. Any suggestion would be very helpful. Update I have tested my result from another website and the result I got is different. Here it is: Calculate duration between two dates (result: 29 years, 8 months, 24 days, 12 hours, 0 minutes and 50 seconds). Update Since I got two different results from two different sites, I am wondering if the algorithm of my calculation is legitimate or not. If I use following two LocalDateTime objects: -CODE- . Then the output is coming: 29 years 8 months 25 days -1 hours -5 minutes -10 seconds. From this link it should be 29 years 8 months 24 days 22 hours, 54 minutes and 50 seconds. So the algorithm needs to handle the negative numbers too. Note the question is not about which site gave me what result, I need to know the right algorithm and need to have right results.",no
