,url,sentence,title,body,arbitration
0,https://stackoverflow.com/questions/27416834,App crashing when trying to use RecyclerView on android 5.0,App crashing when trying to use RecyclerView on android 5.0,"I'm trying to mess with the new RecyclerView and whenever I try to run it, my app immediately crashes. It gives me NullPointerException for trying to access methods from android.support.v7.widget.RecyclerView. I've looked at other posts and saw that most people didn't have compile 'com.android.support:recyclerview-v7:+' but I tried that and it hasn't helped at all. Not really sure what to do at this point, any help would be appreciated. Here the error log: (I would post a picture but I don't have 10 rep yet) -CODE- .",yes
1,https://stackoverflow.com/questions/27416834,I'm trying to mess with the new RecyclerView,App crashing when trying to use RecyclerView on android 5.0,"I'm trying to mess with the new RecyclerView and whenever I try to run it, my app immediately crashes. It gives me NullPointerException for trying to access methods from android.support.v7.widget.RecyclerView. I've looked at other posts and saw that most people didn't have compile 'com.android.support:recyclerview-v7:+' but I tried that and it hasn't helped at all. Not really sure what to do at this point, any help would be appreciated. Here the error log: (I would post a picture but I don't have 10 rep yet) -CODE- .",yes
2,https://stackoverflow.com/questions/27416834,"and whenever I try to run it, my app immediately crashes.",App crashing when trying to use RecyclerView on android 5.0,"I'm trying to mess with the new RecyclerView and whenever I try to run it, my app immediately crashes. It gives me NullPointerException for trying to access methods from android.support.v7.widget.RecyclerView. I've looked at other posts and saw that most people didn't have compile 'com.android.support:recyclerview-v7:+' but I tried that and it hasn't helped at all. Not really sure what to do at this point, any help would be appreciated. Here the error log: (I would post a picture but I don't have 10 rep yet) -CODE- .",no
3,https://stackoverflow.com/questions/27416834,I've looked at other posts and saw that most people didn't have compile ',App crashing when trying to use RecyclerView on android 5.0,"I'm trying to mess with the new RecyclerView and whenever I try to run it, my app immediately crashes. It gives me NullPointerException for trying to access methods from android.support.v7.widget.RecyclerView. I've looked at other posts and saw that most people didn't have compile 'com.android.support:recyclerview-v7:+' but I tried that and it hasn't helped at all. Not really sure what to do at this point, any help would be appreciated. Here the error log: (I would post a picture but I don't have 10 rep yet) -CODE- .",no
4,https://stackoverflow.com/questions/50149266,or: -CODE- .,Compilation failed to complete:Program type already present: com.google.android.gms.internal.measurement.zzabn,When compiling my project I get the following error message: -CODE- . or: -CODE- . With the following stacktrace in the Gradle Log: -CODE- .,no
5,https://stackoverflow.com/questions/27416834,com.android.support:recyclerview-v7:+',App crashing when trying to use RecyclerView on android 5.0,"I'm trying to mess with the new RecyclerView and whenever I try to run it, my app immediately crashes. It gives me NullPointerException for trying to access methods from android.support.v7.widget.RecyclerView. I've looked at other posts and saw that most people didn't have compile 'com.android.support:recyclerview-v7:+' but I tried that and it hasn't helped at all. Not really sure what to do at this point, any help would be appreciated. Here the error log: (I would post a picture but I don't have 10 rep yet) -CODE- .",no
6,https://stackoverflow.com/questions/27416834,but I tried that,App crashing when trying to use RecyclerView on android 5.0,"I'm trying to mess with the new RecyclerView and whenever I try to run it, my app immediately crashes. It gives me NullPointerException for trying to access methods from android.support.v7.widget.RecyclerView. I've looked at other posts and saw that most people didn't have compile 'com.android.support:recyclerview-v7:+' but I tried that and it hasn't helped at all. Not really sure what to do at this point, any help would be appreciated. Here the error log: (I would post a picture but I don't have 10 rep yet) -CODE- .",no
7,https://stackoverflow.com/questions/27416834,and it hasn't helped at all.,App crashing when trying to use RecyclerView on android 5.0,"I'm trying to mess with the new RecyclerView and whenever I try to run it, my app immediately crashes. It gives me NullPointerException for trying to access methods from android.support.v7.widget.RecyclerView. I've looked at other posts and saw that most people didn't have compile 'com.android.support:recyclerview-v7:+' but I tried that and it hasn't helped at all. Not really sure what to do at this point, any help would be appreciated. Here the error log: (I would post a picture but I don't have 10 rep yet) -CODE- .",no
8,https://stackoverflow.com/questions/27416834,"Not really sure what to do at this point, any help would be appreciated.",App crashing when trying to use RecyclerView on android 5.0,"I'm trying to mess with the new RecyclerView and whenever I try to run it, my app immediately crashes. It gives me NullPointerException for trying to access methods from android.support.v7.widget.RecyclerView. I've looked at other posts and saw that most people didn't have compile 'com.android.support:recyclerview-v7:+' but I tried that and it hasn't helped at all. Not really sure what to do at this point, any help would be appreciated. Here the error log: (I would post a picture but I don't have 10 rep yet) -CODE- .",no
9,https://stackoverflow.com/questions/27416834,Here the error log: (I would post a picture,App crashing when trying to use RecyclerView on android 5.0,"I'm trying to mess with the new RecyclerView and whenever I try to run it, my app immediately crashes. It gives me NullPointerException for trying to access methods from android.support.v7.widget.RecyclerView. I've looked at other posts and saw that most people didn't have compile 'com.android.support:recyclerview-v7:+' but I tried that and it hasn't helped at all. Not really sure what to do at this point, any help would be appreciated. Here the error log: (I would post a picture but I don't have 10 rep yet) -CODE- .",no
