,url,sentence,title,body,arbitration
0,https://stackoverflow.com/questions/1018750,How to convert object array to string array in Java,How to convert object array to string array in Java,"I use the following code to convert an Object array to a String array : -CODE- . But I wonder if there is another way to do this, something like : -CODE- . But this would cause a runtime error: Exception in thread ""AWT-EventQueue-0"" java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to [Ljava.lang.String; What's the correct way to do it ?",yes
1,https://stackoverflow.com/questions/1018750,": Exception in thread ""AWT-EventQueue-0"" java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to [Ljava.lang.String;",How to convert object array to string array in Java,"I use the following code to convert an Object array to a String array : -CODE- . But I wonder if there is another way to do this, something like : -CODE- . But this would cause a runtime error: Exception in thread ""AWT-EventQueue-0"" java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to [Ljava.lang.String; What's the correct way to do it ?",no
2,https://stackoverflow.com/questions/1018750,I use the following code to convert an Object array to a String array : -CODE- .,How to convert object array to string array in Java,"I use the following code to convert an Object array to a String array : -CODE- . But I wonder if there is another way to do this, something like : -CODE- . But this would cause a runtime error: Exception in thread ""AWT-EventQueue-0"" java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to [Ljava.lang.String; What's the correct way to do it ?",yes
3,https://stackoverflow.com/questions/12575990,Calendar date to yyyy-MM-dd format in java,Calendar date to yyyy-MM-dd format in java,How to convert calendar date to yyyy-MM-dd format. -CODE- . This will produce inActiveDate = Wed Sep 26 00:00:00 IST 2012. But what I need is 2012-09-26. My purpose is to compare this date with another date in my database using Hibernate criteria. So I need the date object in yyyy-MM-dd format.,yes
4,https://stackoverflow.com/questions/12575990,How to convert calendar date to yyyy-MM-dd format.,Calendar date to yyyy-MM-dd format in java,How to convert calendar date to yyyy-MM-dd format. -CODE- . This will produce inActiveDate = Wed Sep 26 00:00:00 IST 2012. But what I need is 2012-09-26. My purpose is to compare this date with another date in my database using Hibernate criteria. So I need the date object in yyyy-MM-dd format.,yes
5,https://stackoverflow.com/questions/12575990,=,Calendar date to yyyy-MM-dd format in java,How to convert calendar date to yyyy-MM-dd format. -CODE- . This will produce inActiveDate = Wed Sep 26 00:00:00 IST 2012. But what I need is 2012-09-26. My purpose is to compare this date with another date in my database using Hibernate criteria. So I need the date object in yyyy-MM-dd format.,no
6,https://stackoverflow.com/questions/12575990,My purpose is to compare this date with another date in my database using Hibernate criteria.,Calendar date to yyyy-MM-dd format in java,How to convert calendar date to yyyy-MM-dd format. -CODE- . This will produce inActiveDate = Wed Sep 26 00:00:00 IST 2012. But what I need is 2012-09-26. My purpose is to compare this date with another date in my database using Hibernate criteria. So I need the date object in yyyy-MM-dd format.,yes
7,https://stackoverflow.com/questions/12575990,So I need the date object in yyyy-MM-dd format.,Calendar date to yyyy-MM-dd format in java,How to convert calendar date to yyyy-MM-dd format. -CODE- . This will produce inActiveDate = Wed Sep 26 00:00:00 IST 2012. But what I need is 2012-09-26. My purpose is to compare this date with another date in my database using Hibernate criteria. So I need the date object in yyyy-MM-dd format.,yes
8,https://stackoverflow.com/questions/1536054,How to convert byte array to string and vice versa?,How to convert byte array to string and vice versa?,"I have to convert a byte array to string in Android, but my byte array contains negative values. If I convert that string again to byte array, values I am getting are different from original byte array values. What can I do to get proper conversion? Code I am using to do the conversion is as follows: -CODE- . I am stuck in this problem.",yes
9,https://stackoverflow.com/questions/1536054,I am stuck in this problem.,How to convert byte array to string and vice versa?,"I have to convert a byte array to string in Android, but my byte array contains negative values. If I convert that string again to byte array, values I am getting are different from original byte array values. What can I do to get proper conversion? Code I am using to do the conversion is as follows: -CODE- . I am stuck in this problem.",no
10,https://stackoverflow.com/questions/1536054,What can I do to get proper conversion?,How to convert byte array to string and vice versa?,"I have to convert a byte array to string in Android, but my byte array contains negative values. If I convert that string again to byte array, values I am getting are different from original byte array values. What can I do to get proper conversion? Code I am using to do the conversion is as follows: -CODE- . I am stuck in this problem.",no
11,https://stackoverflow.com/questions/1536054,"I have to convert a byte array to string in Android, but my byte array contains negative values.",How to convert byte array to string and vice versa?,"I have to convert a byte array to string in Android, but my byte array contains negative values. If I convert that string again to byte array, values I am getting are different from original byte array values. What can I do to get proper conversion? Code I am using to do the conversion is as follows: -CODE- . I am stuck in this problem.",yes
12,https://stackoverflow.com/questions/21488056,How to negate a method reference predicate,How to negate a method reference predicate,"In Java 8, you can use a method reference to filter a stream, for example: -CODE- . Is there a way to create a method reference that is the negation of an existing one, i.e. something like: -CODE- . I could create the not method like below but I was wondering if the JDK offered something similar. -CODE- .",yes
13,https://stackoverflow.com/questions/5778658,How to convert OutputStream to InputStream?,How to convert OutputStream to InputStream?,"I am on the stage of development, where I have two modules and from one I got output as a OutputStream and second one, which accepts only InputStream. Do you know how to convert OutputStream to InputStream (not vice versa, I mean really this way) that I will be able to connect these two parts? Thanks.",yes
14,https://stackoverflow.com/questions/9863742,How to pass an ArrayList to a varargs method parameter?,How to pass an ArrayList to a varargs method parameter?,"Basically I have an ArrayList of locations: -CODE- . below this I call the following method: -CODE- . the parameters in the getMap() method are: -CODE- . The problem I'm having is I'm not sure how to pass in the WHOLE list of locations into that method. I've tried: -CODE- . but getMap doesn't accept that because it doesn't accept Objects[]. Now if I use: -CODE- . it will work perfectly... but I need to somehow pass in ALL of the locations... I could of course make keep adding locations.get(1), locations.get(2) etc. but the size of the array varies. I'm just not use to the whole concept of an ArrayList. What would be the easiest way to go about this? I feel like I'm just not thinking straight right now.",yes
15,https://stackoverflow.com/questions/9863742,Now if I use: -CODE- .,How to pass an ArrayList to a varargs method parameter?,"Basically I have an ArrayList of locations: -CODE- . below this I call the following method: -CODE- . the parameters in the getMap() method are: -CODE- . The problem I'm having is I'm not sure how to pass in the WHOLE list of locations into that method. I've tried: -CODE- . but getMap doesn't accept that because it doesn't accept Objects[]. Now if I use: -CODE- . it will work perfectly... but I need to somehow pass in ALL of the locations... I could of course make keep adding locations.get(1), locations.get(2) etc. but the size of the array varies. I'm just not use to the whole concept of an ArrayList. What would be the easiest way to go about this? I feel like I'm just not thinking straight right now.",no
16,https://stackoverflow.com/questions/9863742,below this I call the following method: -CODE- .,How to pass an ArrayList to a varargs method parameter?,"Basically I have an ArrayList of locations: -CODE- . below this I call the following method: -CODE- . the parameters in the getMap() method are: -CODE- . The problem I'm having is I'm not sure how to pass in the WHOLE list of locations into that method. I've tried: -CODE- . but getMap doesn't accept that because it doesn't accept Objects[]. Now if I use: -CODE- . it will work perfectly... but I need to somehow pass in ALL of the locations... I could of course make keep adding locations.get(1), locations.get(2) etc. but the size of the array varies. I'm just not use to the whole concept of an ArrayList. What would be the easiest way to go about this? I feel like I'm just not thinking straight right now.",no
17,https://stackoverflow.com/questions/34957430,How to convert a kotlin source file to a java source file,How to convert a kotlin source file to a java source file,"I have a Kotlin source file, but I want to translate it to Java. How can I convert Kotlin to Java source?",yes
18,https://stackoverflow.com/questions/34957430,How can I convert Kotlin to Java source?,How to convert a kotlin source file to a java source file,"I have a Kotlin source file, but I want to translate it to Java. How can I convert Kotlin to Java source?",yes
19,https://stackoverflow.com/questions/5804043,Convert Long into Integer,Convert Long into Integer,How to convert a Long value into an Integer value in Java?,yes
20,https://stackoverflow.com/questions/5804043,How to convert a Long value into an Integer value in Java?,Convert Long into Integer,How to convert a Long value into an Integer value in Java?,yes
21,https://stackoverflow.com/questions/7899525,How to split a String by space,How to split a String by space,I need to split my String by spaces. For this I tried: -CODE- . But it doesn't seem to work.,yes
22,https://stackoverflow.com/questions/7899525,I need to split my String by spaces.,How to split a String by space,I need to split my String by spaces. For this I tried: -CODE- . But it doesn't seem to work.,yes
23,https://stackoverflow.com/questions/18441846,How to sort an ArrayList in Java,How to sort an ArrayList in Java,I have a class named Fruit. I am creating a list of this class and adding each fruit in the list. I want to sort this list based on the order of fruit name. -CODE- . and I am creating its list using for loop: -CODE- . and I need to sort this arrayList using the fruit name of each object in the list. how??,yes
