id,text,post_id,functionality_implementation+desired_functionality,non-functional_improvement+implemented_functionality,non-functional_improvement+suboptimal_implementation,non-functional_improvement+improvement,functional_improvement+expect_result,functional_improvement+actual_result,functional_improvement+insufficient_implementation,error_handling+error type,error_handling+error occasion,error_handling+erroneous_implementation,rationale_analysis+rationale_question,api_comparision+comparision_subjects,api_comparision+comparision_scenario,alternative_api+current_solution,alternative_api+alternative_description,api_usage_learning+used api,api_usage_learning+usage_scenario,others
0,When and how should I use a ThreadLocal variable?,817856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,When should I use a ThreadLocal variable?,817856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,How is it used?,817856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Difference between StringBuilder and StringBuffer,355089,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,What is the main difference between StringBuffer and StringBuilder?,355089,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Is there any performance issues when deciding on any one of these?,355089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Difference between HashMap, LinkedHashMap and TreeMap",2889777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,"What is the difference between HashMap, LinkedHashMap and TreeMap in Java?",2889777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,I don't see any difference in the output as all the three has keySet and values.,2889777,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,What are Hashtables?,2889777,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,-CODE- .,2889777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,What are the differences between ArrayList and Vector?,2986296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,"What are the differences between the two data structures ArrayList and Vector, and where should you use each of them?",2986296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
13,Difference between wait() and sleep(),1036754,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,What is the difference between a wait() and sleep() in Threads?,1036754,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,Is my understanding that a wait()-ing Thread is still in running mode and uses CPU cycles but a sleep()-ing does not consume any CPU cycles correct?,1036754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Why do we have both wait() and sleep(): how does their implementation vary at a lower level?,1036754,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,: how does their implementation vary at a lower level?,1036754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,What is the difference between the HashMap and Map objects in Java?,1348199,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
